sample,model,n,rms_raw,bias_raw,offset_fit,rms_after_offset,floor_exact,rms_floor,max_floor,round_exact,rms_round,max_round,trunc_exact,rms_trunc,max_trunc
last 20 yr,through-origin,240,0.005437776153762759,-0.003824540628037478,-0.004218677731393061,0.0036653656186144135,0.8291666666666667,0.004518480570575321,0.030000000000000027,0.6208333333333333,0.006258327785172859,0.020000000000000018,0.4083333333333333,0.007905694150420946,0.030000000000000027
last 20 yr,offset refit,240,0.005588572887551315,-0.004218677731393217,-0.004218677731393061,0.0036653656186144135,0.8791666666666667,0.003926406329796583,0.030000000000000027,0.5583333333333333,0.006739188873051904,0.020000000000000018,0.3541666666666667,0.008465616732800193,0.030000000000000027
1950-present,through-origin,920,0.006303689292160407,-0.005095653724756656,-0.005073441235908138,0.0033070496757933486,0.8347826086956521,0.004170288281141495,0.030000000000000027,0.4967391304347826,0.0071399062227430685,0.020000000000000018,0.46847826086956523,0.007590039239172211,0.030000000000000027
1950-present,offset refit,920,0.0060975838658821535,-0.00507462170315044,-0.005073441235908138,0.0033070496757933486,0.8880434782608696,0.003473502179545067,0.030000000000000027,0.48695652173913045,0.00718543212219061,0.020000000000000018,0.4532608695652174,0.007878148094019578,0.030000000000000027
