SEAS,YR,ANOM_seas,3mo_avg,diff
OND,1960,-0.07,-0.07666666666666674,0.006666666666666737
NDJ,1960,-0.09,-0.09000000000000008,8.326672684688674e-17
DJF,1961,0.03,0.02666666666666659,0.0033333333333334103
JFM,1961,0.08,0.07999999999999992,8.326672684688674e-17
FMA,1961,0.03,0.029999999999999926,7.28583859910259e-17
MAM,1961,0.06,0.06333333333333326,-0.0033333333333332577
AMJ,1961,0.24,0.2399999999999999,8.326672684688674e-17
MJJ,1961,0.3,0.3033333333333333,-0.0033333333333332993
JJA,1961,0.2,0.20333333333333323,-0.003333333333333216
JAS,1961,-0.07,-0.0700000000000001,9.71445146547012e-17
ASO,1961,-0.23,-0.2300000000000001,8.326672684688674e-17
SON,1961,-0.16,-0.1633333333333334,0.0033333333333334103
OND,1961,-0.06,-0.056666666666666775,-0.003333333333333223
NDJ,1961,0.02,0.02333333333333322,-0.0033333333333332195
DJF,1962,-0.01,-0.003333333333333443,-0.006666666666666557
JFM,1962,-0.01,-0.0066666666666667755,-0.0033333333333332247
FMA,1962,0.0,-0.006666666666666775,0.006666666666666775
MAM,1962,-0.16,-0.16000000000000011,1.1102230246251565e-16
AMJ,1962,-0.17,-0.16666666666666677,-0.0033333333333332438
MJJ,1962,-0.14,-0.1366666666666668,-0.003333333333333216
JJA,1962,0.01,0.016666666666666555,-0.006666666666666555
JAS,1962,-0.1,-0.1000000000000001,9.71445146547012e-17
ASO,1962,-0.15,-0.1500000000000001,1.1102230246251565e-16
SON,1962,-0.3,-0.3066666666666668,0.006666666666666821
OND,1962,-0.29,-0.2966666666666668,0.006666666666666821
NDJ,1962,-0.37,-0.36666666666666675,-0.0033333333333332438
DJF,1963,-0.29,-0.29333333333333345,0.003333333333333466
JFM,1963,-0.12,-0.12333333333333342,0.003333333333333424
FMA,1963,0.04,0.03999999999999989,1.1102230246251565e-16
MAM,1963,0.06,0.05999999999999989,1.1102230246251565e-16
AMJ,1963,0.01,0.01333333333333322,-0.0033333333333332195
MJJ,1963,0.37,0.36666666666666653,0.003333333333333466
JJA,1963,0.73,0.7299999999999999,1.1102230246251565e-16
JAS,1963,1.08,1.0833333333333333,-0.0033333333333331883
ASO,1963,1.07,1.07,0.0
SON,1963,1.06,1.0599999999999998,2.220446049250313e-16
OND,1963,1.11,1.113333333333333,-0.0033333333333329662
NDJ,1963,1.07,1.0633333333333332,0.006666666666666821
DJF,1964,1.0,0.9933333333333333,0.00666666666666671
JFM,1964,0.6,0.6033333333333333,-0.0033333333333332993
FMA,1964,0.1,0.10333333333333324,-0.00333333333333323
MAM,1964,-0.37,-0.37333333333333335,0.003333333333333355
AMJ,1964,-0.66,-0.6600000000000001,1.1102230246251565e-16
MJJ,1964,-0.66,-0.6633333333333334,0.0033333333333334103
JJA,1964,-0.59,-0.5866666666666668,-0.0033333333333331883
JAS,1964,-0.55,-0.5466666666666667,-0.0033333333333332993
ASO,1964,-0.53,-0.5300000000000001,1.1102230246251565e-16
SON,1964,-0.64,-0.6366666666666667,-0.0033333333333332993
OND,1964,-0.58,-0.5833333333333334,0.0033333333333334103
NDJ,1964,-0.48,-0.47666666666666674,-0.0033333333333332438
DJF,1965,-0.16,-0.1633333333333334,0.0033333333333334103
JFM,1965,0.1,0.09999999999999992,8.326672684688674e-17
FMA,1965,0.22,0.2199999999999999,1.1102230246251565e-16
MAM,1965,0.36,0.36666666666666664,-0.006666666666666654
AMJ,1965,0.64,0.6399999999999999,1.1102230246251565e-16
MJJ,1965,1.01,1.0066666666666666,0.0033333333333334103
JJA,1965,1.33,1.3333333333333333,-0.0033333333333331883
JAS,1965,1.49,1.4866666666666666,0.0033333333333334103
ASO,1965,1.76,1.7566666666666666,0.0033333333333334103
SON,1965,1.86,1.8566666666666667,0.0033333333333334103
OND,1965,1.99,1.9866666666666666,0.0033333333333334103
NDJ,1965,1.81,1.8066666666666666,0.0033333333333334103
DJF,1966,1.53,1.53,0.0
JFM,1966,1.29,1.29,0.0
FMA,1966,1.04,1.0399999999999998,2.220446049250313e-16
MAM,1966,0.59,0.5966666666666668,-0.006666666666666821
