decade,n,mean_resid,rms_resid
1950,120,-0.006522487166579559,0.007273084667229039
1960,120,-0.00596396636062298,0.006769974858232264
1970,120,-0.0054251756077776095,0.006210825738613796
1980,120,-0.00481020395362461,0.005875122853346796
1990,120,-0.004700401328762594,0.005647758038821139
2000,120,-0.004487671168554332,0.005231055110687467
2010,120,-0.004254289151124806,0.005271297902426393
2020,80,-0.004111857480660332,0.006266732076274808
