Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2020,0.14,0.1,0.02,-0.25,-0.55,-0.72,-0.75,-0.84,-1.16,-1.36,-1.46,-1.39
2021,-1.32,-1.18,-1.08,-0.89,-0.68,-0.57,-0.6,-0.76,-0.94,-1.08,-1.24,-1.22
2022,-1.17,-1.13,-1.19,-1.26,-1.17,-0.95,-0.86,-0.94,-1.06,-1.1,-1.05,-0.99
2023,-0.86,-0.68,-0.55,-0.31,-0.04,0.28,0.55,0.79,1.05,1.3,1.43,1.41
2024,1.14,0.78,0.43,0.04,-0.27,-0.45,-0.49,-0.56,-0.67,-0.76,-0.88,-1.04
2025,-1.09,-0.84,-0.65,-0.5,-0.47,-0.36,-0.4,-0.58,-0.78,-0.93,-0.97,-1.03
2026,-0.9,-0.75,-0.44,-0.04,0.48,0.97,1.36,,,,,
