Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1980,1.233898730571762,1.24169334706387,1.2561687772339856,1.29814805426023,1.2346481452946976,1.214489759336832,1.2421573505271535,1.2235711451842517,1.2071560689205265,1.2804341749996613,1.1585560729224214,1.1574443590456411
1981,2.111888287159292,1.309459039443499,1.380622217763678,1.407573783573157,1.3929710724649662,1.254623838011965,1.2459658887388756,1.2408693937122799,1.190391281313855,1.2330840604305404,1.2617086279408225,1.2620774322968915
1982,1.2536231632032,1.2396069426283831,1.315223209903474,1.3337464560252181,1.2875014767470414,1.2526910743779713,1.187867979685266,1.1845396813023255,1.1957688230088537,1.2087356579439505,1.2201379229140226,1.2309299227708963
1983,1.2474430196864665,1.2737448651433918,1.3121283773151722,1.3537394086171717,1.3424356860109778,1.3368816358418194,1.3471683891965969,1.2052557546035165,1.2025795616238115,1.216088079296108,1.2212107993647434,1.2393640454196988
1984,1.261392222657861,1.3080326636621558,1.3560367388697092,1.3655804590343414,1.3228640340762645,1.289017329151026,1.2412641589002853,1.2249214573340848,1.2542382187844425,1.2320204838724174,1.2246966573288716,1.2397404175795308
1985,1.2481114227859138,1.2958008226364346,1.3438580462447893,1.3660760373192664,1.3347645408908313,1.2981359487873616,1.2350277678635164,1.2418589227343793,1.2310962831061847,1.2706076232278216,1.3051575428530788,1.273313878405416
1986,1.2876090680100754,1.302279300827967,1.3713857760400892,1.386385277433247,1.423418045397329,-4.439356477561389,1.1516939515209206,1.1855304147288719,1.1917270588506097,1.2105761008690272,1.2218115135508223,1.2293356700322764
1987,1.2435242641898507,1.2743590743856017,1.3082001845859765,1.3474947745045567,1.3185797696070696,1.2353339638847762,1.1847078230740888,1.1778162691982679,1.1933075871284076,1.2016884686251716,1.211189284628241,1.2288924069485696
1988,1.2275404923073723,1.121907985604513,1.3660032915448985,1.3701837146721885,1.3076381280360494,1.259185656017723,1.2069030349705188,1.189392491535894,1.194813418230351,1.2177711814103176,1.2237573939117061,1.2330271100951355
1989,1.2490440093028345,1.2815125821528677,1.3332837250221088,1.366120803482813,1.3739849613955397,1.2984177435115734,1.213394422565635,1.180367092057398,1.204467807596538,1.2302667922693156,1.2758597892986419,1.2468204518430446
1990,1.2350172990003387,1.25938938754594,1.2856334085156058,1.3266956265024674,1.3213487438430178,1.211223071443698,1.1456786286602245,1.1797740213159134,1.1896873388388836,1.1966200612013729,1.2165395622244566,1.2124938956834146
1991,1.2475890744936071,1.26878621655353,1.3034835970149843,1.3539552290810115,1.298251377396257,1.2464026553581498,1.1887195891436626,1.171678468920134,1.1942770064901431,1.2044199064254046,1.2191474596602672,1.229603611497362
1992,1.247005564358487,1.2787807098428239,1.3247804273188115,1.3544570337327362,1.338265161317377,1.2749161060225338,1.2082545891821463,1.1494154988417158,1.168119558511003,1.1885292850827818,1.1746191617139126,1.225986798150672
1993,1.2374427643069568,1.2676179708529731,1.3223856970796641,1.346793308183823,1.3316614865946057,1.284549391456527,1.1823160933172527,1.1698940087024434,1.175425650670482,1.1987676932023972,1.21742554471539,1.2300149142847567
1994,1.2228305949649205,1.2602445790976011,1.3060635993414784,1.3330979939293452,1.3022391674221632,1.2256448053885671,1.1737443978705222,1.1766358123204597,1.1885751017292538,1.2115411975189134,1.2141346050657174,1.2254775078796378
1995,1.2399843675459472,1.2648980862832377,1.295234102570629,1.317091429791617,1.3029180029111398,1.2505011217078996,1.1947602602676786,1.194117244346296,1.198919446965784,1.2153589710568187,1.2296872283770919,1.2346683772380882
1996,1.2552831376031324,1.288490672585298,1.3243266956909279,1.3574923373345589,1.3513227440495421,1.2732261426533233,1.2522054813605878,1.1947632485481956,1.2371556331630427,1.2467058122281265,1.2463528019609502,1.266153577109166
1997,1.2866965583062269,1.1991034535335823,1.3111892000568834,1.3372903468561526,1.2977838572939615,1.2390447055734262,1.1846020055873665,1.1809290512969506,1.1931929010077806,1.2109746038395968,1.221256198689346,1.23196095244377
1998,1.2450966824803074,1.2703785024456877,1.3075164061823934,1.3390916601324778,2.719201778216843,1.1478737321734827,1.1962641084666013,1.190571493452426,1.197338924001093,1.2169379997835945,1.2240937496617672,1.2362681200634071
1999,1.251785127044821,1.2769822292670026,1.334298217577101,1.3703442492621676,1.3357516002034,1.2570402916122494,1.195314541249375,1.1909887052409514,1.1957096795052158,1.2179606172952244,1.2234331071170408,1.2363862400909427
2000,1.2481971131590237,1.2810648163691642,1.3260878148416517,1.3649886392325172,1.3524760402980756,1.2959723150445395,1.2088698378957632,1.196743899271402,1.2241245243860255,1.2296383898112353,1.2300103048391169,1.2393300547141202
2001,1.2570818554302192,1.2954531542254721,1.3229816343290772,1.3722655521839238,1.3949262155664728,1.4813708338729237,0.6091649883810996,1.72851695148085,1.4475096631695197,1.2693031096445608,1.2349461440037222,1.2628215723909526
2002,1.2585366146398547,1.2618243080625753,1.1813018225515723,1.2225915273999222,1.235036583885958,1.2109539107611549,1.1884335881467492,1.179020908254422,1.1962012049212976,1.2037050137850391,1.2223922062683632,1.2256452176815344
2003,1.2381693457940464,1.268874150360453,1.2555050704870585,1.3742804718217563,1.3807347583724707,1.3904896897722836,1.1375309177695814,1.1442987058129288,1.1921320772382558,1.194187229519399,1.209404180455938,1.2005095824255125
2004,1.236896123744756,1.2426831002607253,1.209084899133548,1.3150792441612011,1.229493724757893,1.2069939568345323,1.1707922574526568,1.170461152195647,1.1883644861304874,1.2103888508391885,1.2098741121035235,1.2332249204857557
2005,1.2363609050137343,1.2613461804490476,1.3025539884569812,1.3183444252594172,1.2973144176839329,1.303118475559238,1.3315626543253427,1.1857410922947236,1.2893648939440516,1.2601225781469068,1.2286675342814604,1.2474784876957845
